FECHA,PREDICCION,CODIGO_UPZ,RIESGO
2025-06-01,59.268974642705174,1,0.013608110306647214
2025-06-01,299.9890110841317,10,0.08760195214003563
2025-06-01,937.0967888826157,100,0.28343962663587474
2025-06-01,758.6280010232116,101,0.22858091418183865
2025-06-01,1616.9691893161294,102,0.49242252481188253
2025-06-01,102.07718223041302,103,0.026766731368033016
2025-06-01,185.7612527463759,104,0.05248999881710131
2025-06-01,131.5095193971852,105,0.035813804197116016
2025-06-01,212.002256275506,106,0.06055610205216085
2025-06-01,394.82891418074934,107,0.11675436044374811
2025-06-01,620.9675642563138,108,0.18626609595804064
2025-06-01,175.3062454330052,109,0.049276281467483384
2025-06-01,791.5314785500813,11,0.23869496512617733
2025-06-01,317.98162119501393,110,0.09313261907742786
2025-06-01,500.1118258626837,111,0.14911679786240162
2025-06-01,607.7002569893006,112,0.18218791846196328
2025-06-01,386.0319049165894,113,0.11405028760576692
2025-06-01,433.5554726345238,114,0.12865834186274944
2025-06-01,232.77535601076872,115,0.06694145110296262
2025-06-01,381.10097474287176,116,0.11253459131077104
2025-06-01,80.57888642176943,117,0.020158467580488927
2025-06-01,587.5734056180448,12,0.17600121676905625
2025-06-01,933.8789680543508,13,0.2824505152642804
2025-06-01,392.54594093193475,14,0.116052607635881
2025-06-01,162.91434172324531,15,0.04546719030635911
2025-06-01,721.7087879320628,16,0.2172324844687834
2025-06-01,442.46733541924806,17,0.13139771900427044
2025-06-01,584.8018959048376,18,0.17514929494987416
2025-06-01,898.3762868882842,19,0.2715375068845132
2025-06-01,42.527904263173156,2,0.008462148499325316
2025-06-01,287.8801881412085,20,0.08387987589381848
2025-06-01,424.3764568854205,21,0.12583684578138524
2025-06-01,881.932151535431,22,0.2664828185902884
2025-06-01,397.2458350860309,23,0.11749728681511701
2025-06-01,740.6529033646316,24,0.22305563031784958
2025-06-01,298.62888608333105,25,0.08718386947574787
2025-06-01,1650.4306127880004,26,0.5027080802334402
2025-06-01,1645.3522247808037,27,0.5011470575428154
2025-06-01,3268.2426641987036,28,1.0
2025-06-01,1285.641470006454,29,0.39057719768398114
2025-06-01,1536.0515997910702,30,0.46754963342582145
2025-06-01,796.1464471147453,31,0.2401135394130872
2025-06-01,916.4212163781405,32,0.2770842560388652
2025-06-01,606.2035943000639,33,0.18172786609597644
2025-06-01,1131.2378465463428,34,0.343115767128783
2025-06-01,423.662757061763,35,0.1256174648247814
2025-06-01,769.6496702813898,36,0.2319688151803831
2025-06-01,829.6309352264519,37,0.2504061845698291
2025-06-01,1311.6844156962156,38,0.39858242081675777
2025-06-01,1437.3958747540657,39,0.4372242968968756
2025-06-01,1236.4174639510356,40,0.3754464533873524
2025-06-01,684.898953162945,41,0.2059176760627868
2025-06-01,1636.3044741886795,42,0.4983659104635838
2025-06-01,932.8244224858009,43,0.28212636327776985
2025-06-01,1107.9407552559007,44,0.33595457974443976
2025-06-01,1378.2140428199898,45,0.4190326616002195
2025-06-01,1396.8170938897179,46,0.42475096921939787
2025-06-01,1321.1582722593982,47,0.40149454668069234
2025-06-01,1227.6158546715021,48,0.372740966571478
2025-06-01,382.20767610265256,49,0.1128747752297459
2025-06-01,1069.895603515819,50,0.32426005284921866
2025-06-01,726.5114650959215,51,0.21870875765190856
2025-06-01,263.976460340533,52,0.07653221725991854
2025-06-01,729.6334619389976,53,0.21966841412266155
2025-06-01,994.5518357710623,54,0.3011004732975862
2025-06-01,730.4906122543539,55,0.21993188967625282
2025-06-01,395.6261106477711,56,0.11699940705541767
2025-06-01,1524.1105995646742,57,0.46387914344440523
2025-06-01,956.0546268367266,58,0.28926699058869143
2025-06-01,559.5836585611074,59,0.1673975751806606
2025-06-01,211.61282747542342,61,0.06043639729694124
2025-06-01,750.9823946798092,62,0.2262307658732174
2025-06-01,14.998468776946133,63,0.0
2025-06-01,72.66637516334991,64,0.017726276578794477
2025-06-01,753.2804597123188,65,0.22693715767612713
2025-06-01,788.1851083295518,66,0.23766633953906682
2025-06-01,1767.9151410125228,67,0.5388211173026699
2025-06-01,628.7387544921809,68,0.18865484693062465
2025-06-01,1466.016142063518,69,0.4460217512502036
2025-06-01,882.5383515293711,70,0.26666915566107857
2025-06-01,3011.486688018231,71,0.9210769432734863
2025-06-01,503.3989870598165,72,0.1501272234559549
2025-06-01,1571.4036989095034,73,0.4784163550719197
2025-06-01,1494.0707971102872,74,0.4546453446116396
2025-06-01,1818.3241598575285,75,0.5543161173140264
2025-06-01,387.69831185290434,76,0.11456251688712861
2025-06-01,392.9030742852145,77,0.1161623852399669
2025-06-01,241.84653379131842,78,0.06972979935954768
2025-06-01,893.5957644334385,79,0.27006804373705773
2025-06-01,901.576412334495,80,0.27252117895275646
2025-06-01,812.3100301698471,81,0.24508199000706613
2025-06-01,1795.7951428939753,82,0.5473910248185851
2025-06-01,207.8468081906224,83,0.05927877768446306
2025-06-01,2376.3964926496706,84,0.7258594443035924
2025-06-01,2453.5317620069522,85,0.7495697054225804
2025-06-01,1202.1615212096817,86,0.36491667428575225
2025-06-01,781.4889717503314,87,0.2356080444413168
2025-06-01,290.5969281416835,88,0.08471496229904384
2025-06-01,59.04972985674284,89,0.013540717644801888
2025-06-01,1092.8070212456958,9,0.3313026897844108
2025-06-01,433.4700029774141,90,0.12863206973192384
2025-06-01,358.54776451740844,91,0.10560206215811717
2025-06-01,207.34742797344586,92,0.05912527546108883
2025-06-01,1119.832412332083,93,0.3396099023583761
2025-06-01,445.39251909153853,94,0.13229687796577938
2025-06-01,432.7471982738223,95,0.128409890067511
